studentNumber,studentAgeGroup,avgHoursSpentStudyingOnCampus,studentMark_Raw,timeTakenOnExamination_minutes,studentMark_Percentage
1,over 45,2-3,74,51,56.92
2,35-45,2-3,103,97,79.23
3,18-25,2-3,86,33,66.15
4,over 45,1-2,37,120,28.46
5,over 45,1-2,123,93,94.62
6,35-45,4-5,89,158,68.46
7,18-25,4-5,4,53,3.08
8,25-35,2-3,67,85,51.54
9,25-35,2-3,97,84,74.62
10,18-25,1-2,129,61,99.23
11,25-35,2-3,97,115,74.62
12,35-45,2-3,58,97,44.62
13,over 45,2-3,15,179,11.54
14,over 45,4-5,102,88,78.46
15,25-35,2-3,122,64,93.85
16,25-35,2-3,16,124,12.31
17,35-45,2-3,27,57,20.77
18,35-45,4-5,117,104,90.0
19,over 45,1-2,81,175,62.31
20,25-35,4-5,23,127,17.69
21,35-45,2-3,16,68,12.31
22,35-45,1-2,26,74,20.0
23,over 45,2-3,23,166,17.69
24,over 45,1-2,36,133,27.69
25,25-35,2-3,23,22,17.69
26,35-45,4-5,113,176,86.92
27,18-25,1-2,92,171,70.77
28,over 45,1-2,87,150,66.92
29,over 45,2-3,74,111,56.92
30,35-45,2-3,26,149,20.0
31,over 45,2-3,65,138,50.0
32,over 45,1-2,0,89,0.0
33,18-25,4-5,27,84,20.77
34,35-45,1-2,9,130,6.92
35,35-45,1-2,60,133,46.15
36,25-35,1-2,78,35,60.0
37,over 45,4-5,88,156,67.69
38,over 45,4-5,0,109,0.0
39,35-45,2-3,12,100,9.23
40,35-45,1-2,50,126,38.46
41,35-45,2-3,66,71,50.77
42,over 45,1-2,9,78,6.92
43,over 45,2-3,82,30,63.08
44,18-25,2-3,25,153,19.23
45,18-25,2-3,51,70,39.23
46,25-35,4-5,113,165,86.92
47,18-25,2-3,72,25,55.38
48,18-25,1-2,1,154,0.77
49,18-25,1-2,89,146,68.46
50,35-45,1-2,6,57,4.62
51,35-45,1-2,2,138,1.54
52,25-35,2-3,130,22,100.0
53,25-35,4-5,58,136,44.62
54,18-25,4-5,84,83,64.62
55,18-25,4-5,109,169,83.85
56,18-25,2-3,100,29,76.92
57,25-35,2-3,127,66,97.69
58,18-25,4-5,120,80,92.31
59,25-35,4-5,103,143,79.23
60,25-35,2-3,6,169,4.62
61,over 45,1-2,117,74,90.0
62,25-35,1-2,28,59,21.54
63,35-45,1-2,70,173,53.85
64,25-35,2-3,48,43,36.92
65,over 45,1-2,46,54,35.38
66,18-25,4-5,60,98,46.15
67,18-25,4-5,99,58,76.15
68,over 45,4-5,73,94,56.15
69,35-45,4-5,77,25,59.23
70,18-25,4-5,22,64,16.92
71,over 45,1-2,75,53,57.69
72,25-35,4-5,27,77,20.77
73,35-45,2-3,92,83,70.77
74,25-35,1-2,120,106,92.31
75,25-35,2-3,128,118,98.46
76,25-35,4-5,16,152,12.31
77,35-45,4-5,92,68,70.77
78,over 45,1-2,78,73,60.0
79,18-25,4-5,28,104,21.54
80,35-45,1-2,15,132,11.54
81,35-45,2-3,123,117,94.62
82,35-45,1-2,63,93,48.46
83,25-35,2-3,89,178,68.46
84,18-25,2-3,69,60,53.08
85,25-35,1-2,114,54,87.69
86,35-45,2-3,47,176,36.15
87,18-25,2-3,37,54,28.46
88,over 45,2-3,55,25,42.31
89,over 45,4-5,63,74,48.46
90,18-25,4-5,74,102,56.92
91,over 45,2-3,63,174,48.46
92,18-25,2-3,90,118,69.23
93,35-45,2-3,118,159,90.77
94,over 45,4-5,77,37,59.23
95,25-35,1-2,77,71,59.23
96,over 45,4-5,47,26,36.15
97,18-25,1-2,34,81,26.15
98,25-35,4-5,80,80,61.54
99,over 45,2-3,57,166,43.85
100,35-45,4-5,51,48,39.23
101,18-25,2-3,100,177,76.92
102,over 45,2-3,61,52,46.92
103,35-45,4-5,122,153,93.85
104,over 45,2-3,97,142,74.62
105,over 45,4-5,93,111,71.54
106,25-35,2-3,12,70,9.23
107,over 45,2-3,44,63,33.85
108,25-35,4-5,30,92,23.08
109,25-35,4-5,18,143,13.85
110,over 45,2-3,45,45,34.62
111,18-25,4-5,7,115,5.38
112,35-45,2-3,115,29,88.46
113,over 45,1-2,56,158,43.08
114,over 45,1-2,70,138,53.85
115,over 45,2-3,14,157,10.77
116,35-45,2-3,45,120,34.62
117,25-35,4-5,19,24,14.62
118,18-25,1-2,105,79,80.77
119,18-25,2-3,81,94,62.31
120,25-35,4-5,20,66,15.38
121,35-45,4-5,29,85,22.31
122,18-25,1-2,60,79,46.15
123,18-25,4-5,103,88,79.23
124,over 45,4-5,58,146,44.62
125,over 45,1-2,76,161,58.46
126,18-25,1-2,99,144,76.15
127,18-25,4-5,70,156,53.85
128,over 45,4-5,76,32,58.46
129,18-25,2-3,100,21,76.92
130,35-45,1-2,13,166,10.0
131,over 45,4-5,66,25,50.77
132,35-45,2-3,63,124,48.46
133,over 45,1-2,110,160,84.62
134,35-45,1-2,124,179,95.38
135,35-45,2-3,55,144,42.31
136,25-35,1-2,97,109,74.62
137,25-35,2-3,47,155,36.15
138,25-35,1-2,92,51,70.77
139,25-35,4-5,43,21,33.08
140,25-35,4-5,52,101,40.0
141,35-45,1-2,104,59,80.0
142,25-35,4-5,106,164,81.54
143,25-35,4-5,43,95,33.08
144,over 45,4-5,117,129,90.0
145,18-25,1-2,21,158,16.15
146,over 45,4-5,22,39,16.92
147,25-35,1-2,115,110,88.46
148,18-25,1-2,22,30,16.92
149,18-25,2-3,73,118,56.15
150,18-25,1-2,59,143,45.38
